"sector","desc","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"TOT","Total economy (A-U)",0.629158415512677,0.0609051520039823,0.0907638120704886,0.0431070790136916,0.826067845713577,0.441400255294655,-0.373698356091536,-0.884678365699452,-1.12873168352262,-0.878957892909924,-0.0983823047124464,0.278874281973028,-0.535062800120218,-0.790928445224981,0.347769455639454,0.530361041439623,-0.674787496825166,0.0155692002062811,0.448639881839233,1.18773586770901,1.16897257988732
"TOT_IND","Total industries (A-S)",0.603253051762683,-0.0116414854047591,0.0716247516811137,0.0390051204943669,0.760442032094341,0.405765536975462,-0.413143857999731,-0.920201063449205,-1.19120266271041,-0.93876269715707,-0.169668196424785,0.217318935412689,-0.590840343576287,-0.745525077915112,0.351777449372668,0.549540923479974,-0.608182042464616,0.139241536165171,0.401576857387437,1.05846930835706,1.12398930674485
"MARKT","Market economy (all industries excluding L, O, P, Q, T and U)",0.331718086105968,-0.114170717769365,0.069844880664208,-0.325050628967675,0.761635514952168,0.0832102389005924,-0.867316761187333,-1.36566159018036,-1.64466399485201,-1.18773490014801,-0.102040770199559,-0.500465557447877,-1.159206345375,-1.73425101284229,0.291488626962216,0.213676175461188,-1.28713879515272,-0.435259679878722,1.14539033109658,1.65081889021728,1.34737847256215
"A","Agriculture, forestry and fishing",19.6243555768094,7.78998922491582,2.60810901336855,0.168535272186084,5.75785916903035,-1.78407298316492,1.51656006216549,-0.248310853838454,-1.33414150159034,-7.14723083596658,8.96925085751153,8.57240362593038,-0.638798556580928,-1.46340189449526,0.638549263616144,6.81502131695707,-7.9675398763155,14.3975047279752,-1.44681913313176,3.56290637917231,5.62437099266602
"B","Mining and quarrying",-9.01066581485642,-4.01153349098514,-10.4972991149335,1.01313135157766,-8.64328180801668,12.8064635558565,10.2524025627384,7.81890052635752,2.71531257332223,0.400515802930556,6.56454734252798,2.08277284827281,5.55230461034284,-12.2001598533925,8.33800957464116,10.2450275516559,-0.373254452116258,-13.59070551537,-7.39057971110923,-8.33560471077957,5.98222213224682
"C","Total manufacturing",-0.411237936039315,1.81437229841309,1.60707053585184,0.879668862847608,1.28598726839813,2.91567584008038,0.680829414564431,1.17429822076317,-0.100544919347532,1.18690167304708,3.36735244961694,1.88783259181574,-2.30788607526549,-3.36997172447634,3.07158122630173,1.85681931375507,-0.472426049457046,2.99133798037892,3.72075618345114,2.23954010515216,1.02342148507369
"C10-C12","…Food products, beverages and tobacco",-6.01523662113668,1.91045460795143,-0.0474676399469618,-1.23056904822056,0.388397907315741,2.30974305741802,1.82096671745942,3.93556307568883,-0.726865265630637,7.0514448080891,0.0333018372700788,7.42206137588587,-3.21813601202256,1.6657032332778,3.88861667813756,-8.21412225045867,-4.19318152258241,-5.43541233267076,-3.58498038202529,0.0188520099467704,1.16030284888905
"C13-C15","…Textiles, wearing apparel, leather and related products",0.690939436449224,2.44818068965253,2.51604395427262,-0.851751214153745,1.77682349289562,3.00942786154467,-1.22535305355052,3.51700145181372,-1.73603964643835,-1.23292613763567,6.5405400870735,2.8886872439501,5.79996981437079,-1.30437126886248,2.72811501756716,10.4884097250443,-4.51916696867955,2.4306479107489,-3.85336216308868,-4.10801254861748,-1.38966455247303
"C16-C18","…Wood and paper products; printing and reproduction of recorded media",-0.669963827839489,-1.71412398014519,-1.18464546327534,1.35233062350257,1.11713129281932,-1.18204008626103,-0.980728851294607,-1.76760292292298,-1.90453150892688,3.5795040186132,-0.351649780416385,-0.539327205529549,-3.97214526831551,-4.62647091509459,7.84963862179159,-0.0458446667239594,-2.29231252011884,1.73736434489471,-0.868890734266485,-2.3206224463602,-3.03509775248608
"C19","...Coke and refined petroleum products",-2.1996958754755,3.11972795630978,-3.57693939687953,-2.14880144730891,-11.5840375654272,-0.901743102172643,-9.28922485111278,-0.109277497588343,-7.06182143824117,-1.78625334311851,2.31654075091471,-9.60479262744613,-32.6066778217532,0.187761934363754,-13.012006969437,11.2570577962816,-38.6489977097852,-8.53241117780225,-4.4436803927995,459.324321701462,129.832383358826
"C22_C23","…Rubber and plastics products, and other non-metallic mineral products",-2.29234002285953,2.94970650450524,4.22266741377472,2.23081358259909,0.700565096822386,2.4678619539276,-0.0181670061520871,-1.48933335732743,0.240878429876864,1.33886145352784,-2.69605898983341,-3.35810442228762,-0.907374962582712,-8.78813638104334,2.78097985803928,0.178399327647079,-1.43642079194553,4.47628503230627,5.90271064454574,2.28627493461445,-2.42469916935691
"C24_C25","…Basic metals and fabricated metal products, except machinery and equipment",1.33993131711346,3.53371631913959,6.08353795288509,6.45767117599704,5.81447510336654,1.44271470864178,0.644915446408382,-2.24581053307277,-1.72237592068402,-3.83944495496691,2.37856650281578,-3.09672152862792,-6.63190309362648,-8.91162802740111,6.01977638882996,2.98579338376136,8.92653323481785,9.44822559103101,14.9198174569081,2.68737394817237,1.76103225174038
"C28","…Machinery and equipment n.e.c.",5.4291594498845,-0.902021214602712,3.0429141818191,0.463251480640918,5.48965694306823,3.51492562912126,-2.02625460595238,-0.224381153832564,4.18638293586817,-2.49620547991846,5.3628224821995,1.14656766736887,2.12120372362796,-4.22802519841636,0.993286300968624,6.87728139185189,5.10920154642208,-0.126747767923867,4.21016007484696,-6.69334287965771,-8.05808029788605
